IP,Username,Status code
10.164.62.86,sftp-rf-store,230
10.164.196.125,sftp-rf-store,230
10.164.160.113,sftp-rf-store,230
10.164.22.239,sftp-rf-store,230
34.195.132.144,SFTP-EMBTRAK-B2B,230
10.164.228.243,sftp-rf-store,230
10.164.202.82,sftp-rf-store,230
10.164.26.87,sftp-rf-store,230
10.164.218.91,sftp-rf-store,230
10.164.192.83,sftp-rf-store,230
10.164.82.80,sftp-rf-store,230
10.164.80.80,sftp-rf-store,230
10.164.22.142,sftp-rf-store,230
10.164.86.78,sftp-rf-store,230
10.164.184.69,sftp-rf-store,230
10.164.204.120,sftp-rf-store,230
10.164.82.83,sftp-rf-store,230
10.164.66.230,sftp-rf-store,230
10.164.202.102,sftp-rf-store,230
10.164.254.66,sftp-rf-store,230
10.164.80.124,sftp-rf-store,230
10.164.184.84,sftp-rf-store,230
10.164.222.79,sftp-rf-store,230
10.164.202.96,sftp-rf-store,230
10.164.212.82,sftp-rf-store,230
10.164.62.121,sftp-rf-store,230
10.164.170.94,sftp-rf-store,230
10.164.222.80,sftp-rf-store,230
10.164.170.114,sftp-rf-store,230
10.164.210.75,sftp-rf-store,230
10.164.168.103,sftp-rf-store,230
165.76.251.250,RL-sftp-Virtusize,230
10.164.61.170,sftp-rf-store,230
192.250.28.183,SFTP-RL-GLN,230
10.164.220.62,sftp-rf-store,230
10.164.186.122,sftp-rf-store,230
10.164.202.120,sftp-rf-store,230
10.164.220.86,sftp-rf-store,230
10.164.218.73,sftp-rf-store,230
10.164.6.85,sftp-rf-store,230
10.164.80.83,sftp-rf-store,230
54.152.37.94,SFTP-PRDCT-CM-SFMC,230
10.164.178.87,sftp-rf-store,230
52.194.137.51,sftp-RL-WordPress,230
10.164.178.95,sftp-rf-store,230
211.148.18.36,rl-sftp-baozun,230
54.168.93.92,sftp-RL-ZOZO,230
172.16.76.42,RL-SFTP-DP-GS-QA,230
10.164.166.121,sftp-rf-store,230
107.178.231.94,SFTP-PRDCT-EU-OUT,230
35.72.254.11,sftp-RL-EBISUMART,230
10.164.178.79,sftp-rf-store,230
10.164.178.117,sftp-rf-store,230
103.239.253.11,SFTP-PI-Recom,230
10.164.188.64,sftp-rf-store,230
10.164.4.66,sftp-rf-store,230
10.164.238.134,sftp-rf-store,230
10.164.84.124,sftp-rf-store,230
10.164.26.86,sftp-rf-store,230
10.164.80.115,sftp-rf-store,230
10.164.4.61,sftp-rf-store,230
10.164.78.95,sftp-rf-store,230
10.164.186.87,sftp-rf-store,230
98.97.250.20,RL-SFTP-QUALTRICS,230
98.97.250.18,RL-SFTP-QUALTRICS,230
